,names,labels
62,astronaut,0
63,astronaut,0
64,astronaut,0
65,astronaut,0
66,astronaut,0
67,astronaut,0
68,astronaut,0
69,astronaut,0
70,astronaut,0
71,astronaut,0
72,computer_graphics,0
73,computer_graphics,0
74,computer_graphics,0
75,computer_graphics,0
76,computer_graphics,0
77,computer_graphics,0
78,computer_graphics,0
79,computer_graphics,0
80,computer_graphics,0
81,computer_graphics,0
162,opera,0
163,opera,0
164,opera,0
165,opera,0
166,opera,0
167,opera,0
168,opera,0
169,opera,0
170,opera,0
171,opera,0
172,opera,0
173,painter,0
174,painter,0
175,painter,0
176,painter,0
177,painter,0
178,painter,0
179,painter,0
180,painter,0
181,painter,0
182,painter,0
203,castle,1
204,castle,1
205,castle,1
206,castle,1
207,castle,1
208,castle,1
209,castle,1
210,castle,1
211,castle,1
212,castle,1
32,hurricane,1
33,hurricane,1
34,hurricane,1
35,hurricane,1
36,hurricane,1
37,hurricane,1
38,hurricane,1
39,hurricane,1
40,hurricane,1
41,hurricane,1
52,lawn_mower,1
53,lawn_mower,1
54,lawn_mower,1
55,lawn_mower,1
56,lawn_mower,1
57,lawn_mower,1
58,lawn_mower,1
59,lawn_mower,1
60,lawn_mower,1
61,lawn_mower,1
183,owl,1
184,owl,1
185,owl,1
186,owl,1
187,owl,1
188,owl,1
189,owl,1
190,owl,1
191,owl,1
192,owl,1
193,polar_bear,1
194,polar_bear,1
195,polar_bear,1
196,polar_bear,1
197,polar_bear,1
198,polar_bear,1
199,polar_bear,1
200,polar_bear,1
201,polar_bear,1
202,polar_bear,1
223,rock_climbing,1
224,rock_climbing,1
225,rock_climbing,1
226,rock_climbing,1
227,rock_climbing,1
228,rock_climbing,1
229,rock_climbing,1
230,rock_climbing,1
231,rock_climbing,1
232,rock_climbing,1
233,rock_climbing,1
0,skiing,1
234,skiing,1
235,skiing,1
236,skiing,1
237,skiing,1
238,skiing,1
239,skiing,1
240,skiing,1
241,skiing,1
242,skiing,1
122,blindness,2
123,blindness,2
124,blindness,2
125,blindness,2
126,blindness,2
127,blindness,2
128,blindness,2
129,blindness,2
130,blindness,2
131,blindness,2
141,bone_fracture,2
142,bone_fracture,2
143,bone_fracture,2
144,bone_fracture,2
145,bone_fracture,2
146,bone_fracture,2
147,bone_fracture,2
148,bone_fracture,2
149,bone_fracture,2
150,bone_fracture,2
151,bone_fracture,2
152,infection,2
153,infection,2
154,infection,2
155,infection,2
156,infection,2
157,infection,2
158,infection,2
159,infection,2
160,infection,2
161,infection,2
92,pharmacist,2
93,pharmacist,2
94,pharmacist,2
95,pharmacist,2
96,pharmacist,2
97,pharmacist,2
98,pharmacist,2
99,pharmacist,2
100,pharmacist,2
101,pharmacist,2
12,dreams,3
13,dreams,3
14,dreams,3
15,dreams,3
16,dreams,3
17,dreams,3
18,dreams,3
19,dreams,3
20,dreams,3
21,dreams,3
22,gambling,3
23,gambling,3
24,gambling,3
25,gambling,3
26,gambling,3
27,gambling,3
28,gambling,3
29,gambling,3
30,gambling,3
31,gambling,3
82,law_school,3
83,law_school,3
84,law_school,3
85,law_school,3
86,law_school,3
87,law_school,3
88,law_school,3
89,law_school,3
90,law_school,3
91,law_school,3
102,stress,3
103,stress,3
104,stress,3
105,stress,3
106,stress,3
107,stress,3
108,stress,3
109,stress,3
110,stress,3
111,stress,3
1,beekeeping,4
2,beekeeping,4
3,beekeeping,4
4,beekeeping,4
5,beekeeping,4
6,beekeeping,4
7,beekeeping,4
8,beekeeping,4
9,beekeeping,4
10,beekeeping,4
11,beekeeping,4
42,ice_cream,4
43,ice_cream,4
44,ice_cream,4
45,ice_cream,4
46,ice_cream,4
47,ice_cream,4
48,ice_cream,4
49,ice_cream,4
50,ice_cream,4
51,ice_cream,4
213,pyramid,4
214,pyramid,4
215,pyramid,4
216,pyramid,4
217,pyramid,4
218,pyramid,4
219,pyramid,4
220,pyramid,4
221,pyramid,4
222,pyramid,4
132,taste,4
133,taste,4
134,taste,4
135,taste,4
136,taste,4
137,taste,4
138,taste,4
139,taste,4
140,taste,4
112,tuxedo,4
113,tuxedo,4
114,tuxedo,4
115,tuxedo,4
116,tuxedo,4
117,tuxedo,4
118,tuxedo,4
119,tuxedo,4
120,tuxedo,4
121,tuxedo,4
